phase,frame,turningRadius,rearBodyPosX,rearBodyPosY,rearBodyHeading,centerOfRotationX,centerOfRotationY,jointAngle
FORWARD.MOVING.DESTEERING,42,7.87343,0.448123,0.109646,0.117546,1.55317,7.82464,-0.554471
FORWARD.MOVING.DESTEERING,43,7.96708,0.458619,0.113163,0.120156,1.53397,7.91911,-0.548753
FORWARD.MOVING.DESTEERING,44,8.06254,0.469108,0.116864,0.122745,1.51426,8.01547,-0.543036
FORWARD.MOVING.DESTEERING,45,8.15989,0.479597,0.120734,0.125318,1.49398,8.11379,-0.53732
FORWARD.MOVING.DESTEERING,46,8.2592,0.490093,0.124753,0.127874,1.47315,8.21411,-0.531604
FORWARD.MOVING.DESTEERING,47,8.36052,0.500601,0.128896,0.130413,1.45175,8.31646,-0.525889
FORWARD.MOVING.DESTEERING,48,8.46396,0.511128,0.133136,0.132939,1.42972,8.42091,-0.520172
FORWARD.MOVING.DESTEERING,49,8.56958,0.52168,0.137444,0.135454,1.40706,8.52749,-0.514455
FORWARD.MOVING.DESTEERING,50,8.67742,0.532261,0.141792,0.137954,1.38377,8.63622,-0.508738
FORWARD.MOVING.DESTEERING,51,8.78761,0.542875,0.146151,0.140444,1.35978,8.74717,-0.503019
FORWARD.MOVING.DESTEERING,52,8.90019,0.553527,0.150496,0.142925,1.33509,8.86038,-0.497301
FORWARD.MOVING.DESTEERING,53,9.01524,0.56422,0.154803,0.145397,1.30967,8.97589,-0.491583
FORWARD.MOVING.DESTEERING,54,9.13283,0.574956,0.159053,0.147858,1.28351,9.09374,-0.485866
FORWARD.MOVING.DESTEERING,55,9.25305,0.585736,0.163231,0.150309,1.25657,9.21402,-0.48015
FORWARD.MOVING.DESTEERING,56,9.37598,0.596561,0.167325,0.15275,1.22885,9.33677,-0.474437
FORWARD.MOVING.DESTEERING,57,9.50171,0.607432,0.171332,0.155181,1.2003,9.4621,-0.468725
FORWARD.MOVING.DESTEERING,58,9.63031,0.618346,0.175248,0.157598,1.17094,9.59007,-0.463018
FORWARD.MOVING.DESTEERING,59,9.76188,0.629303,0.179078,0.160002,1.14073,9.72077,-0.457314
FORWARD.MOVING.DESTEERING,60,9.89653,0.640298,0.182827,0.162388,1.10969,9.85432,-0.451614
FORWARD.MOVING.DESTEERING,61,10.0343,0.65133,0.186508,0.164754,1.0778,9.99082,-0.445919
FORWARD.MOVING.DESTEERING,62,10.1755,0.662395,0.190132,0.167099,1.04504,10.1304,-0.440228
FORWARD.MOVING.DESTEERING,63,10.32,0.673488,0.193715,0.16942,1.0114,10.2732,-0.434542
FORWARD.MOVING.DESTEERING,64,10.4681,0.684606,0.197273,0.171716,0.976844,10.4195,-0.42886
FORWARD.MOVING.DESTEERING,65,10.6199,0.695744,0.200821,0.173982,0.941409,10.5692,-0.423183
FORWARD.MOVING.DESTEERING,66,10.7756,0.706898,0.204377,0.176219,0.905016,10.7227,-0.417509
FORWARD.MOVING.DESTEERING,67,10.9353,0.718066,0.207955,0.178422,0.867704,10.8801,-0.411838
FORWARD.MOVING.DESTEERING,68,11.0993,0.72924,0.211568,0.180594,0.829356,11.0415,-0.40617
FORWARD.MOVING.DESTEERING,69,11.2677,0.74042,0.215228,0.182733,0.789987,11.2073,-0.400503
FORWARD.MOVING.DESTEERING,70,11.4407,0.751604,0.218943,0.184839,0.749511,11.3777,-0.394835
FORWARD.MOVING.DESTEERING,71,11.6186,0.762788,0.22272,0.186912,0.707904,11.5528,-0.389168
FORWARD.MOVING.DESTEERING,72,11.8017,0.773972,0.22656,0.188951,0.665105,11.7329,-0.383499
FORWARD.MOVING.DESTEERING,73,11.9901,0.785154,0.230465,0.190957,0.621046,11.9183,-0.377829
FORWARD.MOVING.DESTEERING,74,12.1842,0.796334,0.234432,0.192933,0.575638,12.1092,-0.372156
FORWARD.MOVING.DESTEERING,75,12.3843,0.807514,0.238457,0.194882,0.528766,12.3059,-0.366478
FORWARD.MOVING.DESTEERING,76,12.5906,0.818693,0.242533,0.196801,0.480399,12.5088,-0.360797
FORWARD.MOVING.DESTEERING,77,12.8036,0.829874,0.246652,0.198696,0.430391,12.718,-0.35511
FORWARD.MOVING.DESTEERING,78,13.0235,0.841057,0.250805,0.200568,0.378651,12.934,-0.349418
FORWARD.MOVING.DESTEERING,79,13.2508,0.852246,0.254982,0.202421,0.325025,13.1571,-0.343719
FORWARD.MOVING.DESTEERING,80,13.4858,0.863441,0.259174,0.204257,0.269412,13.3877,-0.338015
FORWARD.MOVING.DESTEERING,81,13.7289,0.874646,0.263372,0.206078,0.211643,13.6261,-0.332303
FORWARD.MOVING.DESTEERING,82,13.9806,0.88586,0.267567,0.207887,0.151604,13.8727,-0.326586
FORWARD.MOVING.DESTEERING,83,14.2414,0.897088,0.271751,0.209683,0.0891684,14.1281,-0.320862
FORWARD.MOVING.DESTEERING,84,14.5117,0.908327,0.275921,0.211473,0.0241026,14.3926,-0.315133
FORWARD.MOVING.DESTEERING,85,14.7922,0.919581,0.280071,0.213257,-0.0437488,14.6668,-0.309396
FORWARD.MOVING.DESTEERING,86,15.0833,0.930849,0.284199,0.215037,-0.114531,14.9512,-0.303655
FORWARD.MOVING.DESTEERING,87,15.3856,0.942131,0.288306,0.216814,-0.18847,15.2464,-0.297909
FORWARD.MOVING.DESTEERING,88,15.6999,0.953424,0.292393,0.218587,-0.265723,15.553,-0.292158
FORWARD.MOVING.DESTEERING,89,16.0267,0.964728,0.296461,0.220357,-0.346504,15.8717,-0.286404
FORWARD.MOVING.DESTEERING,90,16.367,0.976041,0.300516,0.222127,-0.431095,16.2032,-0.280646
FORWARD.MOVING.DESTEERING,91,16.7215,0.98736,0.304565,0.223897,-0.519707,16.5484,-0.274884
FORWARD.MOVING.DESTEERING,92,17.091,0.998683,0.308612,0.225666,-0.612579,16.908,-0.269121
FORWARD.MOVING.DESTEERING,93,17.4766,1.01001,0.312664,0.227432,-0.709972,17.2829,-0.263357
